Name,Symbol,Side,Status,Filled,Total Qty,Price,Avg Price,Time-in-Force,Placed Time,Filled Time
APA Corp (US),APA,Short,Filled,30,30,@23.51,23.51,DAY,09/02/2025 10:26:33 EDT,09/02/2025 10:26:34 EDT
ProShares UltraPro Dow30,UDOW,Buy,Filled,10,10,@99.88,99.88,DAY,09/02/2025 10:25:45 EDT,09/02/2025 10:25:45 EDT
Apple Inc,AAPL,Sell,Filled,15,15,@230.22,230.22,DAY,09/02/2025 09:59:05 EDT,09/02/2025 09:59:05 EDT
AdvisorShares Pure US Cannabis ETF,MSOS,Sell,Filled,50,50,@5.29,5.29,DAY,09/02/2025 09:47:38 EDT,09/02/2025 09:48:03 EDT
Delek Us Hldgs Inc,DK,Buy,Filled,20,20,@28.18,28.18,DAY,09/02/2025 09:36:26 EDT,09/02/2025 09:36:27 EDT
APA Corp (US),APA,Short,Filled,40,40,@23.34,23.34,DAY,09/02/2025 06:17:52 EDT,09/02/2025 06:17:52 EDT
ProShares UltraPro QQQ,TQQQ,Buy,Filled,5,5,@89.75,89.75,DAY,08/29/2025 10:39:13 EDT,08/29/2025 10:40:03 EDT
AdvisorShares Pure US Cannabis ETF,MSOS,Sell,Filled,25,25,@5.91,5.91,DAY,08/28/2025 12:13:19 EDT,08/28/2025 12:13:19 EDT
ProShares UltraPro QQQ,TQQQ,Buy,Filled,10,10,@91.84,91.84,DAY,08/28/2025 12:01:37 EDT,08/28/2025 12:01:38 EDT
AdvisorShares Pure US Cannabis ETF,MSOS,Sell,Filled,25,25,@5.96,5.96,DAY,08/28/2025 11:58:11 EDT,08/28/2025 12:00:12 EDT
Delek Us Hldgs Inc,DK,Short,Filled,20,20,@27.10,27.10,DAY,08/28/2025 11:34:02 EDT,08/28/2025 11:34:02 EDT
AdvisorShares Pure US Cannabis ETF,MSOS,Sell,Filled,33,33,@5.95,5.95,DAY,08/28/2025 10:57:46 EDT,08/28/2025 11:38:04 EDT
Apple Inc,AAPL,Buy,Filled,5,5,@230.73,230.73,DAY,08/28/2025 10:07:20 EDT,08/28/2025 10:07:21 EDT
SOUNDHOUND AI INC,SOUN,Buy,Filled,35,35,@12.18,12.18,DAY,08/28/2025 09:44:03 EDT,08/28/2025 09:44:03 EDT
ProShares UltraPro Dow30,UDOW,Buy,Cancelled,0,4,@102.32,,DAY,08/27/2025 18:33:35 EDT,
AdvisorShares Pure US Cannabis ETF,MSOS,Buy,Filled,25,25,@5.54,5.54,DAY,08/27/2025 18:32:53 EDT,08/27/2025 18:32:53 EDT
SOUNDHOUND AI INC,SOUN,Sell,Filled,50,50,@11.80,11.80,DAY,08/27/2025 16:44:50 EDT,08/27/2025 16:44:50 EDT
AdvisorShares Pure US Cannabis ETF,MSOS,Buy,Filled,8,8,@5.19,5.19,DAY,08/26/2025 13:03:46 EDT,08/26/2025 13:03:46 EDT
ProShares UltraPro Dow30,UDOW,Buy,Filled,12,12,@100.70,100.70,DAY,08/26/2025 09:33:42 EDT,08/26/2025 09:33:43 EDT
Bilibili,BILI,Sell,Filled,30,30,@22.96,22.96,DAY,08/26/2025 09:32:46 EDT,08/26/2025 09:32:46 EDT
AdvisorShares Pure US Cannabis ETF,MSOS,Buy,Filled,25,25,@5.39,5.39,DAY,08/26/2025 07:16:10 EDT,08/26/2025 07:16:10 EDT
AdvisorShares Pure US Cannabis ETF,MSOS,Buy,Filled,75,75,@5.35,5.35,DAY,08/26/2025 06:41:21 EDT,08/26/2025 06:41:21 EDT
Canadian Pacific Kansas City Limited,CP,Sell,Filled,10,10,@73.50,73.50,DAY,08/26/2025 06:01:04 EDT,08/26/2025 07:15:19 EDT
Weibo,WB,Buy,Filled,1,1,@11.52,11.52,DAY,08/26/2025 06:00:50 EDT,08/26/2025 06:00:50 EDT
Weibo,WB,Short,Cancelled,1,30,@11.58,11.58,DAY,08/25/2025 15:13:51 EDT,08/25/2025 19:01:01 EDT
Bilibili,BILI,Buy,Filled,30,30,@23.33,23.33,DAY,08/25/2025 15:05:24 EDT,08/25/2025 15:05:49 EDT
SOUNDHOUND AI INC,SOUN,Buy,Filled,50,50,@12.32,12.32,DAY,08/25/2025 14:36:26 EDT,08/25/2025 14:36:26 EDT
ProShares UltraPro Dow30,UDOW,Buy,Cancelled,0,10,@100.35,,DAY,08/25/2025 10:15:57 EDT,
Canadian Pacific Kansas City Limited,CP,Buy,Filled,10,10,@73.80,73.80,DAY,08/25/2025 10:05:51 EDT,08/25/2025 10:06:36 EDT
Palantir Technologies Inc,PLTR,Buy,Filled,10,10,@152.05,152.05,DAY,08/25/2025 09:57:53 EDT,08/25/2025 09:57:53 EDT
Palantir Technologies Inc,PLTR,Short,Filled,10,10,@150.18,150.18,DAY,08/25/2025 09:53:00 EDT,08/25/2025 09:53:00 EDT
Apple Inc,AAPL,Buy,Filled,10,10,@228.48,228.48,DAY,08/25/2025 09:47:19 EDT,08/25/2025 09:48:21 EDT
Palantir Technologies Inc,PLTR,Sell,Filled,10,10,@151.11,151.11,DAY,08/25/2025 09:44:08 EDT,08/25/2025 09:44:09 EDT
Delek Us Hldgs Inc,DK,Sell,Filled,35,35,@25.21,25.21,DAY,08/25/2025 09:40:42 EDT,08/25/2025 09:48:19 EDT
ProShares UltraPro QQQ,TQQQ,Sell,Filled,10,10,@89.37,89.37,DAY,08/25/2025 07:05:40 EDT,08/25/2025 07:05:40 EDT
Delek Us Hldgs Inc,DK,Buy,Filled,10,10,@21.70,21.70,DAY,08/22/2025 11:11:52 EDT,08/22/2025 11:12:10 EDT
Delek Us Hldgs Inc,DK,Buy,Cancelled,0,5,@21.55,,DAY,08/22/2025 11:09:00 EDT,
Delek Us Hldgs Inc,DK,Buy,Filled,5,5,@21.99,21.99,DAY,08/22/2025 11:08:04 EDT,08/22/2025 11:08:04 EDT
Walmart,WMT,Sell,Filled,10,10,@98.07,98.07,DAY,08/22/2025 10:59:57 EDT,08/22/2025 11:00:00 EDT
